"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"RegionType_2";"Encoding_3";"ChangeInDistrictOrNeighbourhood_4";"DistanceToGPPractice_5";"Within1Km_6";"Within3Km_7";"Within5Km_8";"DistanceToGPPost_9";"DistanceToPharmacy_10";"DistanceToHospital_11";"Within5Km_12";"Within10Km_13";"Within20Km_14";"DistanceToHospital_15";"Within5Km_16";"Within10Km_17";"Within20Km_18";"DistanceToYouthHealthCentre_19";"DistanceToPhysiotherapist_20";"Within1Km_21";"Within3Km_22";"Within5Km_23";"DistanceToLargeSupermarket_24";"Within1Km_25";"Within3Km_26";"Within5Km_27";"DistanceToShopForOtherDailyFood_28";"Within1Km_29";"Within3Km_30";"Within5Km_31";"DistanceToDepartmentStore_32";"Within5Km_33";"Within10Km_34";"Within20Km_35";"DistanceToCafeEtc_36";"Within1Km_37";"Within3Km_38";"Within5Km_39";"DistanceToCafeteriaEtc_40";"Within1Km_41";"Within3Km_42";"Within5Km_43";"DistanceToRestaurant_44";"Within1Km_45";"Within3Km_46";"Within5Km_47";"DistanceToHotelEtc_48";"Within5Km_49";"Within105km_50";"Within20Km_51";"DistanceToDaycareCentres_52";"Within1Km_53";"Within3Km_54";"Within5Km_55";"DistanceToOutOfSchoolCare_56";"Within1Km_57";"Within3Km_58";"Within5Km_59";"DistanceToSchool_60";"Within1Km_61";"Within3Km_62";"Within5Km_63";"DistanceToSchool_64";"Within3Km_65";"Within5Km_66";"Within10Km_67";"DistanceToSchool_68";"Within3Km_69";"Within5Km_70";"Within10Km_71";"DistanceToSchool_72";"Within3Km_73";"Within5Km_74";"Within10Km_75";"DistanceToPublicGreenTotal_76";"DistanceToPark_77";"DistanceToRecreationalTerrain_78";"DistanceToForest_79";"DistanceToOpenNatTerrainTotal_80";"DistanceToOpenDryNaturalTerrain_81";"DistanceToOpenWetNaturalTerrain_82";"DistanceToSemiPublicGreenTotal_83";"DistanceToSportsArea_84";"DistanceToAllotmentGarden_85";"DistanceToRecreationalArea_86";"DistanceToCemetery_87";"DistanceToRecreationalInlandWaters_88";"DistanceToMainRoadEntrance_89";"DistanceToTrainStationAllTypes_90";"DistanceToImportantTransferStation_91";"DistanceToLibrary_92";"DistanceToSwimmingPool_93";"DistanceToArtificialIceSkatingRink_94";"DistanceToMuseum_95";"Within5Km_96";"Within10Km_97";"Within20Km_98";"DistanceToPerformingArts_99";"Within5Km_100";"Within10Km_101";"Within20Km_102";"DistanceToPopMusicVenue_103";"DistanceToCinema_104";"Within5Km_105";"Within10Km_106";"Within20Km_107";"DistanceToSauna_108";"DistanceToTanningSalon_109";"DistanceToAttraction_110";"Within10Km_111";"Within20Km_112";"Within50Km_113";"DistanceToFireStation_114"
"384";"GM0034    ";"Almere                                  ";"Municipality ";"GM0034    ";".";"     1.1";"     0.8";"     4.7";"     9.9";"     4.9";"     1.2";"     4.3";"     0.7";"     1.6";"     3.3";"     4.9";"     0.5";"     1.0";"     1.6";"       .";"       .";"       .";"       .";"       .";"     0.8";"     1.3";"     8.2";"    17.2";"     0.8";"     3.1";"    20.2";"    41.9";"     2.9";"     1.1";"     2.6";"     7.0";"     1.9";"     0.7";"     5.5";"    12.1";"     0.7";"     3.9";"    27.4";"    56.6";"     0.8";"     4.3";"    32.1";"    68.7";"     3.7";"     3.0";"     6.9";"    15.9";"     0.5";"     4.0";"    25.8";"    57.1";"     0.6";"     3.8";"    24.7";"    54.1";"     0.7";"     1.9";"    12.3";"    26.6";"     1.5";"     3.0";"     6.4";"    13.8";"     1.6";"     2.5";"     5.1";"    11.3";"     1.8";"     1.6";"     3.5";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     2.2";"     4.8";"     2.5";"     2.8";"    25.9";"    15.6";"     0.0";"     0.2";"     5.7";"     4.8";"     1.1";"     2.0";"     5.1";"     4.8";"     4.9";"     0.5";"     1.0";"     2.8";"     4.2";"     1.8";"     4.0";"     3.4";"     5.6";"    44.8";"     3.1"
"385";"WK003401  ";"Almere                                  ";"District     ";"WK003401  ";"3";"     1.5";"     0.4";"     2.2";"     4.8";"     5.6";"     1.0";"     5.6";"     0.2";"     2.0";"     4.0";"     5.6";"     0.2";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.9";"     1.0";"     4.8";"    10.3";"     0.8";"     3.9";"    18.3";"    32.2";"     1.8";"     1.3";"     2.4";"     8.9";"     1.0";"     1.2";"     6.6";"    13.1";"     1.0";"     2.1";"    11.9";"    32.2";"     1.1";"     3.9";"    22.3";"    48.6";"     4.4";"     2.0";"     7.9";"    18.8";"     0.7";"     1.5";"    10.6";"    28.1";"     0.8";"     1.9";"    12.2";"    29.6";"     0.8";"     1.1";"     6.7";"    15.0";"     1.7";"     1.0";"     3.2";"    13.3";"     1.7";"     1.0";"     2.6";"    10.3";"     1.7";"     1.0";"     2.5";"     8.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.4";"     5.1";"     5.8";"     1.7";"     4.7";"    22.9";"    12.6";"     0.0";"     0.0";"     8.3";"     5.3";"     0.6";"     2.0";"     6.7";"     5.5";"     5.5";"     0.3";"     1.0";"     3.4";"     2.5";"     1.7";"     2.0";"     4.0";"     6.7";"    49.5";"     4.3"
"386";"BU00340101";"Almere                                  ";"Neighbourhood";"BU00340101";"3";"     0.4";"     2.0";"     2.0";"     3.2";"     5.9";"     0.6";"     5.9";"     0.0";"     2.0";"     4.0";"     5.9";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.3";"     2.0";"     5.0";"     6.5";"     0.2";"    16.0";"    19.0";"    21.2";"     0.5";"     1.0";"     2.0";"     9.2";"     0.4";"     2.0";"     7.0";"     9.8";"     0.1";"     8.0";"    12.0";"    17.2";"     0.1";"    19.2";"    22.0";"    30.9";"     4.8";"     0.7";"     9.0";"    20.0";"     0.9";"     0.7";"    11.0";"    22.8";"     1.2";"     0.1";"    13.0";"    24.0";"     0.9";"     1.1";"     7.0";"    13.1";"     0.4";"     1.0";"     2.1";"    13.0";"     0.4";"     1.0";"     2.1";"    10.0";"     0.4";"     1.0";"     1.9";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.9";"     5.4";"     6.1";"     0.4";"     5.1";"    22.2";"    12.0";"     0.0";"     0.0";"     9.0";"     5.6";"     0.0";"     2.0";"     7.2";"     5.8";"     5.8";"     0.0";"     1.0";"     3.9";"     2.7";"     0.4";"     2.4";"     4.0";"     7.0";"    50.0";"     4.6"
"387";"BU00340102";"Almere                                  ";"Neighbourhood";"BU00340102";"3";"     0.9";"     0.8";"     2.0";"     4.2";"     5.8";"     0.8";"     5.8";"     0.0";"     2.0";"     4.0";"     5.8";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.6";"     4.8";"     8.8";"     0.7";"     6.1";"    18.8";"    27.8";"     1.5";"     1.2";"     2.4";"     8.1";"     0.6";"     1.6";"     7.0";"    10.8";"     0.8";"     2.8";"    11.8";"    23.7";"     0.6";"     7.7";"    22.0";"    40.2";"     4.6";"     1.0";"     7.4";"    17.6";"     0.5";"     2.0";"    10.7";"    23.5";"     0.8";"     1.2";"    12.7";"    24.6";"     0.7";"     1.5";"     6.8";"    12.9";"     1.2";"     1.0";"     2.7";"    13.4";"     1.2";"     1.0";"     2.3";"    10.4";"     1.2";"     1.0";"     2.2";"     8.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.7";"     5.3";"     6.0";"     1.2";"     5.0";"    23.2";"    13.0";"     0.0";"     0.0";"     7.8";"     5.5";"     0.2";"     2.0";"     6.1";"     5.7";"     5.7";"     0.0";"     1.0";"     3.0";"     2.6";"     1.2";"     2.3";"     4.0";"     6.6";"    49.6";"     4.4"
"388";"BU00340103";"Almere                                  ";"Neighbourhood";"BU00340103";"3";"     0.8";"     1.2";"     2.1";"     4.8";"     5.4";"     0.7";"     5.4";"     0.1";"     2.0";"     4.0";"     5.4";"     0.1";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.6";"     5.1";"    10.6";"     0.6";"    11.0";"    19.0";"    33.3";"     1.1";"     1.3";"     2.7";"     8.3";"     0.7";"     1.5";"     7.0";"    14.2";"     0.6";"     4.6";"    12.2";"    32.4";"     0.8";"     7.9";"    22.4";"    50.7";"     4.4";"     1.7";"     8.1";"    19.4";"     0.7";"     0.7";"    11.1";"    28.0";"     1.1";"     0.8";"    13.1";"    29.3";"     0.6";"     1.4";"     7.1";"    14.9";"     0.8";"     1.0";"     3.9";"    13.4";"     0.8";"     1.0";"     3.2";"    10.4";"     0.8";"     1.0";"     3.0";"     8.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.4";"     4.9";"     5.6";"     0.8";"     4.6";"    22.6";"    12.5";"     0.0";"     0.0";"     8.6";"     5.1";"     0.4";"     2.0";"     6.4";"     5.3";"     5.3";"     0.2";"     1.0";"     3.2";"     2.2";"     0.8";"     1.9";"     4.0";"     7.0";"    50.0";"     4.2"
"389";"BU00340104";"Almere                                  ";"Neighbourhood";"BU00340104";"3";"     1.4";"     0.0";"     2.0";"     3.0";"     6.3";"     0.9";"     6.3";"     0.0";"     2.0";"     4.0";"     6.3";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.8";"     0.8";"     4.4";"     6.1";"     0.8";"     0.7";"    18.4";"    19.7";"     2.0";"     1.0";"     2.0";"     9.0";"     0.8";"     1.3";"     6.8";"     7.9";"     0.8";"     0.7";"    11.5";"    14.7";"     0.4";"     3.1";"    22.0";"    28.1";"     5.0";"     0.5";"     7.0";"    16.3";"     0.6";"     1.3";"     9.6";"    18.5";"     0.5";"     2.1";"    11.0";"    19.3";"     0.6";"     1.0";"     6.3";"    10.5";"     1.8";"     1.0";"     1.2";"    13.0";"     1.8";"     1.0";"     1.2";"    10.0";"     1.8";"     1.0";"     1.2";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.1";"     5.8";"     6.5";"     1.8";"     5.5";"    23.6";"    13.4";"     0.0";"     0.0";"     7.2";"     6.0";"     0.0";"     2.0";"     6.0";"     6.2";"     6.2";"     0.0";"     1.0";"     3.0";"     3.2";"     1.7";"     2.8";"     4.0";"     6.4";"    49.0";"     4.8"
"390";"BU00340105";"Almere                                  ";"Neighbourhood";"BU00340105";"3";"     1.8";"     0.0";"     2.0";"     3.3";"     5.9";"     0.5";"     5.9";"     0.0";"     2.0";"     4.0";"     5.9";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     0.9";"     4.1";"     6.9";"     0.7";"     0.8";"    18.1";"    21.0";"     2.4";"     1.0";"     2.5";"     8.5";"     0.6";"     1.8";"     7.0";"     9.5";"     0.6";"     1.0";"    11.9";"    17.7";"     0.7";"     1.2";"    22.0";"    31.9";"     4.5";"     1.0";"     7.0";"    15.3";"     0.6";"     1.0";"     9.4";"    23.5";"     0.4";"     2.0";"    10.6";"    25.3";"     0.5";"     1.1";"     6.1";"    13.3";"     2.3";"     1.0";"     2.0";"    13.3";"     2.3";"     1.0";"     2.0";"    10.3";"     2.3";"     1.0";"     1.8";"     8.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.6";"     5.4";"     6.1";"     2.2";"     5.1";"    24.1";"    13.9";"     0.0";"     0.0";"     7.0";"     5.6";"     0.0";"     2.0";"     6.0";"     5.8";"     5.8";"     0.0";"     1.0";"     3.0";"     2.9";"     2.2";"     2.3";"     4.0";"     6.0";"    48.0";"     4.3"
"391";"BU00340106";"Almere                                  ";"Neighbourhood";"BU00340106";"3";"     1.7";"     0.0";"     2.7";"     7.1";"     4.8";"     1.6";"     4.8";"     0.6";"     2.0";"     4.0";"     4.8";"     0.6";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     0.9";"     5.8";"    17.9";"     0.8";"     0.8";"    19.1";"    54.5";"     2.4";"     2.0";"     3.0";"     7.7";"     1.0";"     0.9";"     7.1";"    21.5";"     0.8";"     1.1";"    13.7";"    66.4";"     1.5";"     0.0";"    25.9";"    85.2";"     3.3";"     4.9";"     7.0";"    16.8";"     0.5";"     3.6";"    13.7";"    41.4";"     0.5";"     2.5";"    15.1";"    43.4";"     0.6";"     1.1";"     8.7";"    21.1";"     1.8";"     1.0";"     5.2";"    14.0";"     1.8";"     1.0";"     4.1";"    11.0";"     1.8";"     1.0";"     4.1";"     9.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     4.3";"     5.0";"     1.8";"     4.0";"    23.4";"    13.3";"     0.0";"     0.0";"     7.3";"     4.5";"     1.9";"     2.0";"     6.0";"     4.7";"     4.7";"     1.0";"     1.0";"     3.0";"     1.8";"     1.9";"     1.1";"     4.0";"     6.5";"    49.2";"     3.2"
"392";"BU00340107";"Almere                                  ";"Neighbourhood";"BU00340107";"3";"     1.8";"     0.0";"     2.9";"     8.0";"     4.5";"     0.9";"     4.5";"     0.9";"     2.0";"     4.0";"     4.5";"     0.9";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.4";"     5.9";"    18.6";"     1.0";"     0.4";"    19.4";"    56.4";"     1.8";"     2.0";"     3.0";"     8.1";"     0.5";"     2.1";"     7.6";"    22.3";"     0.7";"     1.5";"    14.0";"    70.2";"     1.7";"     0.0";"    26.7";"    90.2";"     3.8";"     5.4";"     8.1";"    19.4";"     0.7";"     1.7";"    15.7";"    45.6";"     0.4";"     3.4";"    16.9";"    47.0";"     0.5";"     1.4";"     9.4";"    22.2";"     1.9";"     1.1";"     5.6";"    14.0";"     1.9";"     1.1";"     4.3";"    11.0";"     1.9";"     1.1";"     3.8";"     9.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.5";"     4.0";"     4.7";"     1.9";"     3.7";"    22.6";"    12.5";"     0.0";"     0.0";"     8.6";"     4.2";"     1.9";"     2.0";"     6.4";"     4.4";"     4.4";"     1.0";"     1.0";"     3.1";"     1.2";"     1.9";"     0.9";"     4.0";"     7.0";"    49.3";"     3.6"
"393";"BU00340108";"Almere                                  ";"Neighbourhood";"BU00340108";"3";"     1.4";"     0.2";"     2.0";"     3.9";"     5.7";"     0.7";"     5.7";"     0.0";"     2.0";"     4.0";"     5.7";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.0";"     5.0";"     7.9";"     0.7";"     3.8";"    19.0";"    25.9";"     1.0";"     1.2";"     2.1";"     9.2";"     1.2";"     0.4";"     6.8";"    11.1";"     1.1";"     1.7";"    11.8";"    21.7";"     1.1";"     2.8";"    21.9";"    37.3";"     4.9";"     0.8";"     9.0";"    20.0";"     0.8";"     1.2";"    10.1";"    23.7";"     0.7";"     2.8";"    11.7";"    25.0";"     0.9";"     0.8";"     6.6";"    13.6";"     1.4";"     1.0";"     2.7";"    13.0";"     1.4";"     1.0";"     2.4";"    10.0";"     1.4";"     1.0";"     2.3";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.7";"     5.2";"     5.9";"     1.3";"     4.9";"    22.2";"    12.0";"     0.0";"     0.0";"     9.0";"     5.4";"     0.2";"     2.0";"     7.3";"     5.6";"     5.6";"     0.0";"     1.0";"     3.8";"     2.4";"     1.3";"     2.1";"     4.0";"     7.0";"    49.5";"     4.7"
"394";"BU00340109";"Almere                                  ";"Neighbourhood";"BU00340109";"3";"     2.6";"     0.0";"     1.7";"     5.4";"     6.5";"     1.6";"     6.1";"     0.0";"     2.0";"     4.0";"     6.5";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     1.2";"     0.2";"     3.1";"     7.9";"     1.2";"     0.2";"    16.6";"    27.1";"     2.2";"     1.0";"     2.0";"    13.7";"     2.3";"     0.0";"     3.6";"     9.2";"     2.3";"     0.0";"     9.0";"    17.6";"     2.1";"     0.0";"    18.4";"    36.1";"     4.5";"     1.0";"     9.0";"    26.4";"     1.1";"     0.3";"     2.9";"    26.2";"     1.1";"     0.3";"     5.5";"    28.9";"     1.1";"     0.2";"     2.5";"    12.9";"     2.6";"     1.0";"     2.4";"    13.0";"     2.6";"     0.9";"     1.4";"    10.0";"     2.6";"     1.0";"     2.0";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.4";"     4.9";"     6.6";"     2.5";"     3.4";"    20.7";"    10.5";"     0.0";"     0.0";"    10.0";"     6.2";"     0.0";"     2.0";"     9.9";"     6.4";"     6.3";"     0.0";"     1.0";"     5.0";"     3.2";"     2.5";"     3.1";"     3.5";"     7.1";"    52.0";"     5.8"
"395";"BU00340110";"Almere                                  ";"Neighbourhood";"BU00340110";"3";"     6.2";"     0.0";"     0.0";"     0.0";"     7.4";"     5.6";"     7.4";"     0.0";"     1.0";"     3.0";"     7.4";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     5.2";"     0.0";"     0.0";"     0.6";"     5.2";"     0.0";"     0.0";"     0.7";"     6.8";"     0.0";"     2.7";"     6.2";"     5.6";"     0.0";"     0.0";"     0.1";"     5.0";"     0.0";"     0.0";"     1.1";"     2.4";"     0.0";"     0.9";"     3.7";"     3.0";"     2.0";"     6.6";"    14.0";"     2.4";"     0.0";"     1.0";"     3.4";"     4.9";"     0.0";"     0.0";"     2.6";"     5.3";"     0.0";"     0.0";"     0.8";"     5.2";"     0.0";"     0.3";"     9.7";"     5.2";"     0.0";"     0.3";"     7.7";"     5.2";"     0.0";"     0.3";"     5.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     7.5";"     7.7";"     6.7";"     8.6";"    28.3";"    14.9";"     0.0";"     0.0";"     7.0";"     7.7";"     0.0";"     2.0";"     4.4";"     7.7";"     7.5";"     0.0";"     1.0";"     2.6";"     7.1";"     6.6";"     2.4";"     4.0";"     5.0";"    44.8";"     4.7"
"396";"BU00340111";"Almere                                  ";"Neighbourhood";"BU00340111";"3";"     2.3";"     0.0";"     2.0";"     4.1";"     6.0";"     0.9";"     6.0";"     0.0";"     2.0";"     4.0";"     6.0";"     0.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"     1.0";"     4.2";"     7.1";"     0.5";"     1.0";"    18.0";"    23.4";"     2.0";"     1.0";"     2.0";"    11.9";"     1.6";"     0.0";"     5.1";"    10.0";"     2.1";"     0.0";"    10.6";"    16.9";"     2.0";"     0.0";"    19.1";"    31.5";"     5.0";"     0.5";"     9.0";"    23.0";"     0.5";"     1.6";"     6.9";"    23.0";"     0.5";"     2.3";"     8.0";"    25.5";"     0.5";"     1.1";"     4.3";"    13.4";"     2.3";"     1.0";"     2.7";"    13.0";"     2.3";"     1.0";"     1.7";"    10.0";"     2.3";"     1.0";"     2.6";"     8.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.8";"     5.3";"     6.2";"     2.3";"     4.0";"    21.3";"    11.2";"     0.0";"     0.0";"    10.0";"     5.7";"     0.0";"     2.0";"     9.0";"     5.9";"     5.9";"     0.0";"     1.0";"     5.0";"     2.7";"     2.2";"     2.4";"     4.0";"     7.0";"    51.0";"     5.1"
"397";"BU00340171";"Almere                                  ";"Neighbourhood";"BU00340171";"3";"     1.7";"     0.0";"     3.0";"    10.5";"     4.2";"     1.7";"     4.2";"     1.0";"     2.0";"     4.0";"     4.2";"     1.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     1.1";"     0.3";"     7.0";"    21.0";"     0.1";"     1.0";"    21.0";"    60.3";"     2.4";"     2.0";"     3.0";"     9.0";"     0.5";"     2.0";"     8.0";"    23.0";"     0.2";"     2.0";"    16.0";"    76.1";"     1.7";"     0.0";"    30.5";"    99.2";"     2.7";"     6.0";"     7.4";"    19.0";"     0.3";"     3.9";"    19.8";"    62.4";"     0.3";"     2.9";"    21.7";"    63.7";"     0.8";"     1.0";"    10.0";"    30.6";"     1.8";"     1.0";"     8.0";"    14.0";"     1.8";"     1.0";"     6.0";"    11.0";"     1.8";"     1.0";"     5.0";"     9.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     3.7";"     4.4";"     1.9";"     3.5";"    22.9";"    12.7";"     0.0";"     0.0";"     8.0";"     3.9";"     2.0";"     2.0";"     6.0";"     4.2";"     4.1";"     1.0";"     1.0";"     3.0";"     1.3";"     1.9";"     0.5";"     4.0";"     7.0";"    50.0";"     2.5"
"398";"BU00340173";"Almere                                  ";"Neighbourhood";"BU00340173";"3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"399";"BU00340199";"Almere                                  ";"Neighbourhood";"BU00340199";"3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"400";"WK003402  ";"Almere                                  ";"District     ";"WK003402  ";"3";"     0.9";"     0.9";"     5.7";"    12.6";"     3.0";"     1.1";"     2.9";"     1.1";"     1.8";"     3.4";"     3.0";"     1.0";"     1.0";"     1.6";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.4";"    10.0";"    23.0";"     0.6";"     2.9";"    23.2";"    55.7";"     2.7";"     1.4";"     3.0";"     7.4";"     1.8";"     1.0";"     8.4";"    18.2";"     0.6";"     4.3";"    35.9";"    79.0";"     0.6";"     5.2";"    44.4";"    98.5";"     2.0";"     5.0";"     7.3";"    15.5";"     0.4";"     4.6";"    32.7";"    74.3";"     0.5";"     4.3";"    30.5";"    68.8";"     0.5";"     2.2";"    15.4";"    35.1";"     1.5";"     3.7";"     8.0";"    15.6";"     1.6";"     2.8";"     6.1";"    12.7";"     1.9";"     1.8";"     4.4";"     9.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     1.7";"     2.9";"     2.7";"     2.7";"    24.8";"    14.8";"     0.0";"     0.0";"     6.6";"     2.8";"     1.9";"     2.0";"     5.3";"     2.9";"     3.0";"     1.0";"     1.0";"     3.0";"     2.9";"     1.9";"     3.9";"     3.9";"     5.8";"    45.1";"     2.7"
"401";"BU00340201";"Almere                                  ";"Neighbourhood";"BU00340201";"3";"     0.4";"     1.2";"     8.5";"    14.4";"     0.8";"     0.7";"     0.8";"     1.0";"     2.0";"     4.0";"     0.8";"     1.0";"     1.0";"     2.0";"       .";"       .";"       .";"       .";"       .";"     0.3";"     8.0";"    16.0";"    25.3";"     0.2";"    23.6";"    41.6";"    54.5";"     0.6";"     1.0";"     3.0";"     7.0";"     0.3";"     9.8";"    15.6";"    20.7";"     0.1";"    44.1";"    63.9";"    80.6";"     0.2";"    44.5";"    84.5";"   105.9";"     0.3";"     5.9";"     7.0";"    14.6";"     0.7";"     3.1";"    45.7";"    94.5";"     0.8";"     1.8";"    42.5";"    85.9";"     0.7";"     1.5";"    24.5";"    41.7";"     0.9";"     6.5";"     7.8";"    17.0";"     0.9";"     4.9";"     5.8";"    14.0";"     1.2";"     3.5";"     4.1";"    10.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.2";"     0.7";"     0.7";"     0.6";"     1.6";"    24.3";"    14.2";"     0.0";"     0.0";"     6.0";"     0.4";"     2.0";"     2.0";"     5.1";"     0.5";"     0.7";"     1.0";"     1.0";"     3.0";"     2.0";"     0.5";"     3.8";"     4.0";"     6.0";"    46.8";"     1.2"
"402";"BU00340202";"Almere                                  ";"Neighbourhood";"BU00340202";"3";"     1.2";"     0.6";"     4.9";"    13.7";"     1.9";"     1.2";"     1.9";"     1.0";"     2.0";"     3.6";"     1.9";"     1.0";"     1.0";"     1.6";"       .";"       .";"       .";"       .";"       .";"     0.8";"     1.1";"    13.3";"    23.7";"     0.7";"     2.4";"    30.5";"    53.1";"     1.9";"     1.0";"     3.0";"     8.3";"     1.7";"     1.2";"    10.9";"    20.0";"     0.5";"     5.5";"    51.6";"    79.9";"     0.5";"     5.8";"    59.6";"    99.2";"     1.2";"     5.2";"     7.0";"    15.0";"     0.4";"     4.0";"    34.6";"    80.5";"     0.4";"     4.9";"    34.0";"    73.9";"     0.6";"     1.8";"    16.1";"    38.0";"     0.9";"     4.5";"     8.4";"    17.0";"     0.9";"     3.9";"     6.8";"    14.0";"     0.9";"     2.6";"     4.4";"    10.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     2.1";"     2.1";"     1.9";"     3.1";"    25.3";"    15.2";"     0.0";"     0.0";"     6.7";"     2.2";"     2.0";"     2.0";"     5.7";"     2.2";"     2.0";"     1.0";"     1.0";"     3.0";"     3.3";"     1.3";"     3.8";"     4.0";"     5.9";"    45.0";"     1.4"
